ano,inscricao_enem,nota_ch,nota_cn,nota_l,nota_m,nota_r,sigla_uf_campus
2022,211XXXXXX415,403.2,347.0,411.7,452.3,320.0,DF
2022,211XXXXXX740,400.0,477.7,358.4,393.9,340.0,DF
2022,211XXXXXX897,338.8,443.5,348.9,444.6,240.0,DF
2022,211XXXXXX897,338.8,443.5,348.9,444.6,240.0,DF
2022,215XXXXXX876,367.7,526.0,508.8,416.4,340.0,DF
2022,211XXXXXX740,400.0,477.7,358.4,393.9,340.0,DF
2022,211XXXXXX052,633.1,589.8,559.3,504.5,300.0,DF
2022,211XXXXXX506,489.4,367.1,458.6,453.7,320.0,DF
2022,211XXXXXX506,489.4,367.1,458.6,453.7,320.0,DF
2022,211XXXXXX779,400.3,389.4,380.7,469.3,340.0,DF
2022,211XXXXXX677,459.7,442.2,426.3,446.3,340.0,DF
2022,211XXXXXX052,633.1,589.8,559.3,504.5,300.0,DF
2022,211XXXXXX748,403.2,383.3,419.3,393.0,340.0,DF
2022,211XXXXXX740,400.0,477.7,358.4,393.9,340.0,DF
2022,211XXXXXX663,450.1,456.6,362.5,368.0,260.0,DF
2022,211XXXXXX663,450.1,456.6,362.5,368.0,260.0,DF
2022,211XXXXXX741,413.1,430.4,331.4,459.4,220.0,DF
2022,211XXXXXX175,519.8,438.2,459.8,463.7,340.0,DF
2022,211XXXXXX059,428.9,359.9,454.5,412.3,320.0,DF
2022,211XXXXXX221,560.6,412.1,588.6,626.3,320.0,DF
2022,215XXXXXX219,570.5,578.0,522.3,406.2,280.0,DF
2022,211XXXXXX059,428.9,359.9,454.5,412.3,320.0,DF
2022,215XXXXXX219,570.5,578.0,522.3,406.2,280.0,DF
2022,211XXXXXX175,519.8,438.2,459.8,463.7,340.0,DF
2022,215XXXXXX052,548.0,424.7,519.9,335.9,260.0,DF
2022,211XXXXXX628,437.3,444.4,422.2,455.2,320.0,DF
2022,202XXXXXX633,335.7,425.5,336.2,405.4,320.0,DF
2022,211XXXXXX387,397.1,367.7,435.4,584.2,340.0,DF
2022,211XXXXXX387,397.1,367.7,435.4,584.2,340.0,DF
2022,211XXXXXX527,377.8,385.1,384.2,461.4,320.0,DF
